LSOA21CD,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01003909,25.07,47.057,26.583,2.08,26.049
E01003910,24.973,55.747,28.234,4.755,26.814
E01003911,29.724,58.025,32.013,3.438,31.052
E01003912,30.051,52.589,31.001,2.028,30.517
E01003913,29.438,58.239,31.749,3.739,30.514
E01003914,29.158,52.594,30.806,3.454,29.792
E01003915,29.322,37.106,30.211,1.059,29.953
E01003916,30.216,44.167,31.696,1.964,31.106
E01003917,30.103,40.675,30.802,1.023,30.603
E01003918,30.547,33.552,31.258,0.552,31.164
E01003919,29.852,60.789,32.926,4.362,31.54
E01003920,30.834,46.803,32.645,2.761,31.749
E01003921,30.605,68.597,35.688,6.557,33.139
E01003922,29.714,71.902,31.576,3.964,30.571
E01003923,31.164,59.977,32.37,3.029,31.665
E01003924,31.201,52.871,32.954,3.291,31.852
E01003925,30.697,44.084,31.987,1.805,31.413
E01003926,31.195,60.561,33.488,4.641,31.913
E01003929,34.769,99.545,38.829,8.727,36.041
E01003930,34.639,60.227,36.621,3.992,35.318
E01003932,33.989,94.292,37.673,7.694,34.94
E01003933,33.713,83.898,36.477,5.497,34.683
E01003934,35.204,98.365,38.201,6.43,36.698
E01003935,35.48,118.532,37.436,4.853,36.633
E01003936,33.882,60.725,35.481,4.234,34.543
E01003937,34.573,69.8,36.857,4.9,35.616
E01003938,33.914,46.826,35.297,2.192,34.712
E01003939,34.126,98.798,38.062,8.29,35.436
